14:25:01.136 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 40 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.137 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.137 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 41 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.137 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.137 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 42 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.137 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.137 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 43 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.137 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.137 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 44 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.137 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.137 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 45 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.137 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.137 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 46 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.137 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.138 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 47 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.138 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.138 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 48 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.138 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.138 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 49 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.138 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.138 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 50 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.141 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.142 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 1 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.142 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.142 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 2 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.142 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.142 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 3 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.142 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.142 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 4 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.142 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.142 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 5 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.142 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.143 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 6 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.143 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.143 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 7 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.143 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.143 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 8 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.143 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.143 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 9 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.143 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.143 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 10 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.143 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.143 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 11 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
